📆 Saison;🚴‍♂️ Course;📅 Date;🔢 Etape;🟢 Ville départ;🏁 Ville d'arrivée;📏 Distance;🌄 Type;🥇 Vainqueur;👑 Leader général;Format vidéo;📺 Diffuseur;Rareté;Type de course;Titre;Prix vidéo
1980;Championnat du Monde;31-août-80;;Sallanches;Sallanches;268;Course en ligne;Bernard Hinault;;Long format;;Très rare;Classique ou Semi-classique;;10
1983;Championnat du Monde;04-sept-83;;Altenrhein;Altenrhein;269,89;Course en ligne;Greg LeMond;;Long format;;Très rare;Classique ou Semi-classique;;10
1984;Championnat du Monde;02-sept-84;;Barcelone;Barcelone;255,55;Course en ligne;Claude Criquielion;;Long format;;Très rare;Classique ou Semi-classique;;10
1986;Amstel Gold Race;26-avr-86;;Heerlen;Meerssen;242;Classique;Steven Rooks;;Court format;Antenne 2;Très rare;Classique ou Semi-classique;;8,5
1986;Championnat du Monde;06-sept-86;;Colorado Springs;Colorado Springs;261,8;Course en ligne;Moreno Argentin;;Court format;;Très rare;Classique ou Semi-classique;;9
1987;Championnat du Monde;06-sept-87;;Villach;Villach;276;Course en ligne;Stephen Roche;;Court format;;Très rare;Classique ou Semi-classique;;9
1988;Championnat du Monde;28-août-88;;Ronse;Ronse;274;Course en ligne;Maurizio Fondriest;;Court format;;Très rare;Classique ou Semi-classique;;9
1989;Flèche Wallonne;12-avr-89;;Spa;Huy;253;Classique;Claude Criquielion;;Long format;RTBF;Très rare;Classique ou Semi-classique;;9,5
1989;Championnat du Monde;27-août-89;;Chambéry;Chambéry;259,35;Course en ligne;Greg LeMond;;Long format;;Très rare;Classique ou Semi-classique;;10
1990;Tour des Flandres;01-avr-90;;Sint-Niklaas;Meerbeke (Ninove);262;Classique;Moreno Argentin;;Long format;France TV;Très rare;Classique ou Semi-classique;;10
1990;Paris-Roubaix;08-avr-90;;Compiègne;Roubaix;265;Classique;Eddy Planckaert;;Long format;France TV;Très rare;Classique ou Semi-classique;;10
1990;Tour de France;30-juin-90;0;Futuroscope;Futuroscope;6,3;Prologue;Thierry Marie;Thierry Marie;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;01-juil-90;1;Futuroscope;Futuroscope;138,5;Plat;Frans Maassen;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;01-juil-90;2;Futuroscope;Futuroscope;44,5;Chrono par équipe;Panasonic-Sportlife;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;02-juil-90;3;Poitiers;Nantes;233;Plat;Moreno Argentin;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;03-juil-90;4;Nantes;Mont-Saint-Michel;203;Plat;Johan Museeuw;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;04-juil-90;5;Avranches;Rouen;301;Plat;Gerrit Solleveld;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;06-juil-90;6;Sarrebourg;Vittel;202,5;Plat;Jelle Nijdam;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;07-juil-90;7;Vittel;Epinal;61,5;Chrono individuel;Raúl Alcalá;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;08-juil-90;8;Epinal;Besançon;181,5;Plat;Olaf Ludwig;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;09-juil-90;9;Besançon;Genève;196;Accidentée;Massimo Ghirotto;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;10-juil-90;10;Genève;Saint-Gervais-Mont-Blanc;118,5;Montagne;Thierry Claveyrolat;Ronan Pensec;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;11-juil-90;11;Saint-Gervais-Mont-Blanc;Alpe d'Huez;182,5;Montagne;Gianni Bugno;Ronan Pensec;Long format;France TV;Très rare;Grand Tour;;11
1990;Tour de France;12-juil-90;12;Fontaine;Villard-de-Lans;33,5;Chrono individuel;Erik Breukink;Claudio Chiappucci;Long format;France TV;Très rare;Grand Tour;;11
1990;Tour de France;14-juil-90;13;Villard-de-Lans;Saint-Etienne;149;Accidentée;Eduardo Chozas;Claudio Chiappucci;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;15-juil-90;14;Le Puy-en-Velay;Millau;205;Accidentée;Marino Lejarreta;Claudio Chiappucci;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;16-juil-90;15;Millau;Revel;170;Plat;Charly Mottet;Claudio Chiappucci;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;17-juil-90;16;Blagnac;Luz Ardiden;215;Montagne;Miguel Indurain;Claudio Chiappucci;Long format;France TV;Très rare;Grand Tour;;11
1990;Tour de France;18-juil-90;17;Lourdes;Pau;150;Montagne;Dimitri Konyshev;Claudio Chiappucci;Long format;France TV;Très rare;Grand Tour;;11
1990;Tour de France;19-juil-90;18;Pau;Bordeaux;202;Plat;Gianni Bugno;Claudio Chiappucci;Long format;France TV;Très rare;Grand Tour;;11
1990;Tour de France;20-juil-90;19;Castillon-la-Bataille;Limoges;177;Plat;Guido Bontempi;Claudio Chiappucci;Court format;France TV;Très rare;Grand Tour;;10
1990;Tour de France;21-juil-90;20;Lac de Vassivière;Lac de Vassivière;45,5;Chrono individuel;Erik Breukink;Greg LeMond;Long format;France TV;Très rare;Grand Tour;;11
1990;Tour de France;22-juil-90;21;Brétigny-sur-Orge;Paris-Champs-Elysées;182,5;Plat;Johan Museeuw;Greg LeMond;Court format;France TV;Très rare;Grand Tour;;10
1990;Championnat du Monde;02-sept-90;;Utsunomiya;Utsunomiya;261;Course en ligne;Rudy Dhaenens;;Long format;;Très rare;Classique ou Semi-classique;;10
1990;Tour de Lombardie;20-oct-90;;Monza;Monza;246;Classique;Gilles Delion;;Long format;France TV;Très rare;Classique ou Semi-classique;;10
1991;Milan-San Remo;23-mars-91;;Milano;Sanremo;294;Classique;Claudio Chiappucci;;Long format;France TV;Très rare;Classique ou Semi-classique;;10
1991;Tour des Flandres;07-avr-91;;Sint-Niklaas;Meerbeke (Ninove);261;Classique;Edwig Van Hooydonck;;Long format;France TV;Très rare;Classique ou Semi-classique;;10
1991;Paris-Roubaix;14-avr-91;;Compiègne;Roubaix;266;Classique;Marc Madiot;;Long format;France TV;Très rare;Classique ou Semi-classique;;10
1991;Tour de France;06-juil-91;0;Lyon;Lyon;5,4;Prologue;Thierry Marie;Thierry Marie;Long format;France TV;Très rare;Grand Tour;;11
1991;Tour de France;07-juil-91;1;Lyon;Lyon;114,5;Plat;Djamolidine Abdoujaparov;Greg LeMond;Court format;France TV;Très rare;Grand Tour;;10
1991;Tour de France;07-juil-91;2;Bron;Chassieu - Eurexpo;36,5;Chrono par équipe;Ariostea;Rolf Sørensen;Court format;France TV;Très rare;Grand Tour;;10
1991;Tour de France;08-juil-91;3;Villeurbanne;Dijon;210,5;Plat;Etienne De Wilde;Rolf Sørensen;Long format;France TV;Très rare;Grand Tour;;11
1991;Tour de France;09-juil-91;4;Dijon;Reims;286;Plat;Djamolidine Abdoujaparov;Rolf Sørensen;Long format;France TV;Très rare;Grand Tour;;11
1991;Tour de France;10-juil-91;5;Reims;Valenciennes;149,5;Plat;Jelle Nijdam;Rolf Sørensen;Long format;France TV;Très rare;Grand Tour;;11
1991;Tour de France;11-juil-91;6;Arras;Le Havre;259;Plat;Thierry Marie;Thierry Marie;Court format;France TV;Très rare;Grand Tour;;10
1991;Tour de France;12-juil-91;7;Le HAvre;Argentan;196,5;Plat;Jean-Paul van Poppel;Thierry Marie;Long format;France TV;Très rare;Grand Tour;;11
1991;Tour de France;13-juil-91;8;Argentan;Alençon;73;Chrono individuel;Miguel Indurain;Greg LeMond;Long format;France TV;Très rare;Grand Tour;;11
1991;Tour de France;14-juil-91;9;Alençon;Rennes;161;Plat;Mauro Ribeiro;Greg LeMond;Court format;France TV;Très rare;Grand Tour;;10
1991;Tour de France;15-juil-91;10;Rennes;Quimper;207,5;Plat;Phil Anderson;Greg LeMond;Long format;France TV;Très rare;Grand Tour;;11
1991;Tour de France;16-juil-91;11;Quimper;Saint-Herblain;246;Plat;Charly Mottet;Greg LeMond;Long format;France TV;Très rare;Grand Tour;;11
1991;Tour de France;18-juil-91;12;Pau;Jaca;192;Montagne;Charly Mottet;Luc Leblanc;Court format;France TV;Très rare;Grand Tour;;10
1991;Tour de France;19-juil-91;13;Jaca;Val-Louron;232;Montagne;Claudio Chiappucci;Miguel Indurain;Long format;France TV;Très rare;Grand Tour;;11
1991;Tour de France;20-juil-91;14;Saint-Gaudens;Castres;172,5;Plat;Bruno Cenghialta;Miguel Indurain;Long format;France TV;Très rare;Grand Tour;;11
1991;Tour de France;21-juil-91;15;Evaux-les-Bains;Alès;235;Accidentée;Moreno Argentin;Miguel Indurain;Court format;France TV;Très rare;Grand Tour;;10
1991;Tour de France;22-juil-91;16;Alès;Gap;215;Plat;Marco Lietti;Miguel Indurain;Long format;France TV;Très rare;Grand Tour;;11
