📆 Saison;🚴‍♂️ Course;📅 Date;🔢 Etape;🟢 Ville départ;🏁 Ville d'arrivée;📏 Distance;🌄 Type;🥇 Vainqueur;👑 Leader général;Format vidéo;📺 Diffuseur;Rareté;Type de course;Titre;Prix vidéo
1980;Championnat du Monde;dimanche 31 août 1980;;Sallanches;Sallanches;268;Course en ligne;Bernard Hinault;;Long format;;Très rare;Classique ou Semi-classique;;10
1983;Championnat du Monde;dimanche 4 septembre 1983;;Altenrhein;Altenrhein;269,89;Course en ligne;Greg LeMond;;Long format;;Très rare;Classique ou Semi-classique;;10
1984;Championnat du Monde;dimanche 2 septembre 1984;;Barcelone;Barcelone;255,55;Course en ligne;Claude Criquielion;;Long format;;Très rare;Classique ou Semi-classique;;10
1986;Amstel Gold Race;samedi 26 avril 1986;;Heerlen;Meerssen;242;Classique;Steven Rooks;;Court format;Antenne 2;Très rare;Classique ou Semi-classique;;9
1986;Championnat du Monde;samedi 6 septembre 1986;;Colorado Springs;Colorado Springs;261,8;Course en ligne;Moreno Argentin;;Court format;;Très rare;Classique ou Semi-classique;;9
1987;Championnat du Monde;dimanche 6 septembre 1987;;Villach;Villach;276;Course en ligne;Stephen Roche;;Court format;;Très rare;Classique ou Semi-classique;;9
1988;Championnat du Monde;dimanche 28 août 1988;;Ronse;Ronse;274;Course en ligne;Maurizio Fondriest;;Court format;;Très rare;Classique ou Semi-classique;;9
1989;Flèche Wallonne;mercredi 12 avril 1989;;Spa;Huy;253;Classique;Claude Criquielion;;Long format;RTBF;Très rare;Classique ou Semi-classique;;10
1989;Championnat du Monde;dimanche 27 août 1989;;Chambéry;Chambéry;259,35;Course en ligne;Greg LeMond;;Long format;;Très rare;Classique ou Semi-classique;;10
1990;Tour des Flandres;dimanche 1 avril 1990;;Sint-Niklaas;Meerbeke (Ninove);262;Classique;Moreno Argentin;;Long format;France TV;Très rare;Classique ou Semi-classique;;10
1990;Paris-Roubaix;dimanche 8 avril 1990;;Compiègne;Roubaix;265;Classique;Eddy Planckaert;;Long format;France TV;Très rare;Classique ou Semi-classique;;10
1990;Tour de France;samedi 30 juin 1990;0;Futuroscope;Futuroscope;6,3;Prologue;Thierry Marie;Thierry Marie;Court format;France TV;Très rare;Grand Tour;;8
1990;Tour de France;dimanche 1 juillet 1990;1;Futuroscope;Futuroscope;138,5;Plat;Frans Maassen;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;8
1990;Tour de France;dimanche 1 juillet 1990;2;Futuroscope;Futuroscope;44,5;Chrono par équipe;Panasonic-Sportlife;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;8
1990;Tour de France;lundi 2 juillet 1990;3;Poitiers;Nantes;233;Plat;Moreno Argentin;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;8
1990;Tour de France;mardi 3 juillet 1990;4;Nantes;Mont-Saint-Michel;203;Plat;Johan Museeuw;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;8
1990;Tour de France;mercredi 4 juillet 1990;5;Avranches;Rouen;301;Plat;Gerrit Solleveld;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;8
1990;Tour de France;vendredi 6 juillet 1990;6;Sarrebourg;Vittel;202,5;Plat;Jelle Nijdam;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;8
1990;Tour de France;samedi 7 juillet 1990;7;Vittel;Epinal;61,5;Chrono individuel;Raúl Alcalá;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;8
1990;Tour de France;dimanche 8 juillet 1990;8;Epinal;Besançon;181,5;Plat;Olaf Ludwig;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;8
1990;Tour de France;lundi 9 juillet 1990;9;Besançon;Genève;196;Accidentée;Massimo Ghirotto;Steve Bauer;Court format;France TV;Très rare;Grand Tour;;9
